Country,CEI,GCI,NCSI,DDL
Sweden,0.21,94.55,84.42,81.51
Switzerland,0.172,86.97,76.62,82.93
Syria,,22.14,15.58,33.4
Tajikistan,,17.01,10.39,34.56
Tanzania,0.731,90.58,24.68,26.96
Thailand,0.445,86.5,64.94,56.63
Timor-Leste,,4.26,,
Togo,,33.19,,
Tonga,,20.95,23.38,43.4
Trinidad and Tobago,,22.18,33.77,52.6
Tunisia,0.614,86.23,53.25,46.26
Turkey,0.483,97.49,54.55,58.29
Turkmenistan,,14.48,7.79,
Tuvalu,,5.78,2.6,
Uganda,0.634,69.98,50.65,26.71
Ukraine,0.569,65.93,75.32,55.96
United Arab Emirates,0.359,98.06,40.26,68.87
United Kingdom,0.207,99.54,89.61,79.96
United States,0.145,100,64.94,81.05
Uruguay,0.348,75.15,59.74,63.86
Uzbekistan,0.721,71.11,36.36,49
Vanuatu,,12.88,25.97,28.1
Vatican City,,,2.6,
Venezuela,0.807,27.06,28.57,43.14
Vietnam,,94.59,36.36,47.69
Yemen,,,7.79,
Zambia,0.745,68.88,55.84,29.66
Zimbabwe,0.724,36.49,15.58,28.97
