s/n ,State,Year,Population,Totalcrime_count,Totalcrime_loss,Bec_count,Bec_loss,Romance_counts,Romance_loss,Creditcard_count,Creditcard_loss,Databreach_count,Databreach_loss,GovtImp_count,GovtImp_loss,Age<20_count,Age<20_loss,Age<29_count,Age<29_loss,Age<39_count,Age<39_loss,Age<49_count,Age<49_loss,Age<59_count,Age<59_loss,Age>60_count,Age>60_loss
38,Oregon,2020,"4,237,256 ","8,269 ","$50,381,000.00",263,"$10,941,000.00",308,"$8,328,000.00",217,"$825,000.00",47,"$1,439,000.00",168,"$233,000.00",236,"$4,918,621.00",629,"$1,174,081.00",976,"$1,425,545.00",982,"$6,088,602.00",970,"$4,793,788.00","1,775","$12,817,393.00"
39,Pennsylvania,2020,"13,002,700 ","19,796 ","$127,819,000.00",671,"$54,696,000.00",736,"$12,236,000.00",503,"$3,221,000.00",106,"$2,620,000.00",404,"$3,888,000.00",472,"$1,415,049.00","1,859","$4,900,382.00","2,377","$9,835,344.00","3,436","$18,943,736.00","2,557","$17,878,509.00","3,543","$23,335,112.00"
40,Rhode Island,2020,"1,097,379 ","1,789 ","$9,888,000.00",85,"$2,506,000.00",80,"$1,381,000.00",18,"$70,000.00",9,"$108,000.00",53,"$413,000.00",45,"$381,557.00",181,"$147,124.00",245,"$378,766.00",251,"$951,709.00",260,"$2,496,611.00",323,"$2,792,854.00"
41,South Carolina,2020,"5,118,425 ","6,255 ","$26,143,901.00",219,"$8,367,818.00",250,"$4,439,116.00",160,"$608,310.00",531,"$820,736.00",177,"$1,140,542.00",183,"$156,208.00 ",741,"$2,075,921.00 ",817,"$2,181,616.00 ",843,"$3,786,139.00 ",957,"$3,870,227.00 ","1,350","$9,987,360.00 "
42,South Dakota,2020,"886,667 ",841 ,"$3,971,401.00",20,"$541,372.00",32,"$585,685.00",34,"$298,398.00",61,"$18,259.00",32,"$749,263.00",28,"$35,917.00 ",102,"$292,165.00 ",104,"$301,010.00 ",93,"$455,816.00 ",142,"$426,300.00 ",169,"$1,396,978.00 "
43,Tennessee,2020,"6,910,840 ","9,009 ","$31,576,938.00",249,"$20,831,147.00",334,"$4,526,218.00",312,"$782,567.00",714,"$569,494.00",218,"$301,501.00",222,"$336,646.00 ","1,010","$1,755,533.00 ","1,116","$3,177,613.00 ","1,218","$3,756,504.00 ","1,717","$10,861,366.00 ","1,881","$10,846,194.00 "
44,Texas,2020,"29,145,505 ","50,388 ","$420,927,696.00","1,662","$136,223,701.00","1,602","$42,181,951.00","1,198","$37,085,127.00","1,170","$37,720,530.00","3,394","$6,080,505.00","1,327","$5,561,278.00 ","4,645","$16,404,396.00 ","5,947","$61,154,830.00 ","6,643","$52,911,128.00 ","5,021","$62,001,626.00 ","6,342","$69,759,993.00 "
45,Utah,2020,"3,271,616 ","173,230 ","$56,431,629.00",175,"$13,186,099.00",296,"$6,036,574.00",236,"$1,505,681.00",422,"$2,018,413.00",120,"$910,147.00",279,"$551,206.00 ",735,"$1,304,232.00 ",737,"$3,940,324.00 ",771,"$5,537,520.00 ",609,"$6,233,964.00 ",893,"$23,652,577.00 "
46,Vermont,2020,"643,077 ",902 ,"$5,037,000.00",33,"$1,521,042.00",46,"$671,040.00",23,"$240,877.00",51,"$96,521.00",23,"$22,790.00",20,"$6,461.00",90,"$78,788.00",103,"$119,347.00",117,"$272,773.00",136,"$796,448.00",235,"$1,629,726.00"
47,Virgina,2020,"8,631,393 ","15,030 ","$120,498,000.00",564,"$44,950,407.00",531,"$18,052,839.00",421,"$2,626,696.00","1,187","$8,150,181.00",450,"$1,740,798.00",477,"$1,641,935.00","1,559","$13,207,475.00","2,003","$7,081,690.00","1,996","$16,952,278.00","2,092","$16,307,499.00","2,779","$24,836,467.00"
48,Washington,2020,"7,705,281 ","18,143 ","$107,133,000.00",525,"$38,009,931.00",579,"$14,839,297.00",416,"$3,814,209.00","1,293","$1,872,465.00",358,"$2,080,678.00",444,"$906,203.00","1,523","$3,412,282.00","2,120","$7,721,580.00","2,193","$15,377,415.00","2,271","$13,702,161.00","3,301","$26,541,727.00"
49,West Virginia,2020,"1,793,716 ","2,041 ","$5,984,000.00",24,"$1,070,040.00",107,"$1,232,777.00",59,"$159,094.00",187,"$206,826.00",56,"$171,370.00",55,"$218,078.00",213,"$327,593.00",276,"$331,187.00",288,"$608,925.00",290,"$1,038,479.00",403,"$1,483,058.00"
50,Wisconsin,2020,"5,893,718 ","9,556 ","$43,103,000.00",233,"$16,409,640.00",355,"$5,664,897.00",206,"$645,712.00",545,"$1,279,703.00",282,"$566,028.00",291,"$842,506.00",722,"$1,040,479.00",935,"$2,605,102.00",995,"$6,106,800.00","2,544","$5,189,179.00","1,226","$10,227,553.00"
51,Wyoming,2020,"576,851 ","1,016 ","$2,979,000.00",36,"$1,256,674.00",44,"$377,214.00",172,"$134,274.00",94,"$170,668.00",26,"$155,997.00",21,"$55,147.00",91,"$165,234.00",120,"$142,815.00",144,"$1,001,394.00",139,"$398,785.00",174,"$3,105,323.00"
