s/n ,State,Year,Population,Totalcrime_count,Totalcrime_loss,Bec_count,Bec_loss,Romance_counts,Romance_loss,Creditcard_count,Creditcard_loss,Databreach_count,Databreach_loss,GovtImp_count,GovtImp_loss,Age<20_count,Age<20_loss,Age<29_count,Age<29_loss,Age<39_count,Age<39_loss,Age<49_count,Age<49_loss,Age<59_count,Age<59_loss,Age>60_count,Age>60_loss
39,Pennsylvania,2021,"12,964,056 ","16,566 ","$246,063,000.00",661,"$92,176,534.00",723,"$30,055,491.00",571,"$9,261,284.00","1,576","$11,748,826.00",361,"$5,139,264.00",421,"$5,346,227.00","1,769","$6,104,102.00","2,244","$14,884,943.00","2,184","$20,974,629.00","3,072","$57,421,167.00","3,166","$58,251,054.00"
40,Rhode Island,2021,"1,095,610 ","1,284 ","$13,018.00",82,"$2,661,875.00",72,"$4,519,628.00",42,"$181,981.00",114,"$954,307.00",15,"$106,737.00",24,"$12,510.00",172,"$237,978.00",181,"$682,846.00",181,"$2,158,164.00",205,"$2,566,189.00",230,"$4,284,962.00"
41,South Carolina,2021,"5,190,705 ","5,422 ","$48,212.00",235,"$17,274,112.00",294,"$6,821,160.00",189,"$519,358.00",617,"$1,391,709.00",135,"$478,294.00",155,"$99,849.00",710,"$1,683,704.00",900,"$5,518,810.00",812,"$6,181,789.00",886,"$5,573,564.00","1,240","$15,727,100.00"
42,South Dakota,2021,"895,376 ","1,010 ","$19,397,000.00",33,"$11,789,721.00",52,"$1,282,228.00",27,"$33,919.00",65,"$58,679.00",23,"$206,135.00",20,"$3,515.00",86,"$1,217,101.00",123,"$247,001.00",103,"$9,824,927.00",116,"$868,464.00",183,"$4,821,701.00"
43,Tennessee,2021,"6,975,218 ","8,237 ","$113,038,000.00",321,"$38,847,655.00",366,"$14,569,398.00",271,"$1,959,585.00",742,"$8,559,707.00",220,"$1,053,487.00",199,"$929,171.00",941,"$2,105,270.00","1,288","$11,907,729.00","1,027","$25,786,606.00","1,260","$22,077,508.00","1,420","$28,233,241.00"
44,Texas,2021,"29,527,941 ","44,026 ","$728,460,000.00","1,750","$233,583,565.00","1,752","$65,430,519.00","1,104","$12,357,119.00","3,857","$83,888,548.00",967,"$11,561,233.00","1,099","$4,894,402.00","4,556","$27,026,159.00","6,179","$67,513,429.00","7,238","$94,448,874.00","4,780","$122,048,506.00","5,667","$124,536,695.00"
45,Utah,2021,"3,337,975 ","4,620 ","$75,828,000.00",228,"$29,750,751.00",256,"$7,710,025.00",188,"$3,499,300.00",401,"$2,802,992.00",113,"$1,472,249.00",201,"$1,020,221.00",662,"$3,511,605.00",700,"$13,105,416.00",718,"$12,042,888.00",562,"$13,322,402.00",768,"$14,767,652.00"
46,Vermont,2021,"645,570 ",767 ,"$10,855,000.00",35,"$2,000,797.00",43,"$528,709.00",21,"$63,134.00",72,"$311,115.00",22,"$384,315.00",17,"$236,370.00",70,"$129,018.00",98,"$228,921.00",75,"$677,007.00",122,"$4,389,431.00",199,"$3,220,853.00"
47,Virgina,2021,"8,642,274 ","12,737 ","$196,863,000.00",617,"$65,400,117.00",613,"$22,143,549.00",398,"$4,577,719.00","1,235","$15,122,861.00",317,"$3,042,691.00",332,"$2,233,159.00","1,442","$12,388,714.00","1,894","$11,191,574.00","1,754","$29,454,993.00","1,706","$31,614,971.00","2,540","$49,928,372.00"
48,Washington,2021,"7,738,692 ","14,831 ","$150,751,000.00",565,"$49,458,671.00",657,"$31,958,914.00",406,"$6,723,596.00","1,153","$8,658,267.00",327,"$2,285,931.00",350,"$2,358,443.00","1,437","$7,751,160.00","1,936","$19,859,266.00","1,788","$35,473,798.00","1,577","$28,357,097.00","2,440","$36,771,171.00"
